track 1: IDENTIFIED as 16 (CONFIRMED, conf=0.78)
track 2: IDENTIFIED as 06 (CONFIRMED, conf=0.77)
track 3: IDENTIFIED as 21 (UNKNOWN, conf=0.36)
track 4: IDENTIFIED as 21 (CANDIDATE, conf=0.39)
track 5: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 6: IDENTIFIED as 23 (LOCKED, conf=0.96)
track 7: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 8: IDENTIFIED as 02 (UNKNOWN, conf=0.45)
track 9: IDENTIFIED as 23 (UNKNOWN, conf=0.32)
track 10: IDENTIFIED as 21 (UNKNOWN, conf=0.34)
track 11: IDENTIFIED as 21 (UNKNOWN, conf=0.45)
track 13: IDENTIFIED as 21 (UNKNOWN, conf=0.23)
track 14: IDENTIFIED as 21 (UNKNOWN, conf=0.45)
track 16: NOT RECOGNIZED — best sim 0.20 -> 12 (threshold 0.45)
track 18: IDENTIFIED as 02 (UNKNOWN, conf=0.23)
track 19: IDENTIFIED as 23 (CANDIDATE, conf=0.46)
track 20: IDENTIFIED as 23 (CANDIDATE, conf=0.69)
track 22: IDENTIFIED as 23 (CANDIDATE, conf=0.75)
track 24: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 25: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 28: IDENTIFIED as 02 (UNKNOWN, conf=0.26)
track 31: IDENTIFIED as 23 (CANDIDATE, conf=0.84)
track 33: IDENTIFIED as 23 (UNKNOWN, conf=0.33)
track 34: IDENTIFIED as 23 (CANDIDATE, conf=0.46)
track 35: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 37: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 39: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 44: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 45: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 46: IDENTIFIED as 23 (UNKNOWN, conf=0.40)
track 48: IDENTIFIED as 23 (UNKNOWN, conf=0.34)
track 49: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 52: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 53: IDENTIFIED as 23 (UNKNOWN, conf=0.54)
track 54: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 55: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 57: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 58: IDENTIFIED as 05 (CONFIRMED, conf=0.76)
track 62: IDENTIFIED as 02 (UNKNOWN, conf=0.39)
track 66: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 67: IDENTIFIED as 23 (UNKNOWN, conf=0.50)
track 68: IDENTIFIED as 23 (UNKNOWN, conf=0.33)
track 70: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 71: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 72: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 75: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 76: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 77: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 78: IDENTIFIED as 18 (UNKNOWN, conf=0.49)
track 79: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 81: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 84: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 86: IDENTIFIED as 23 (CANDIDATE, conf=0.61)
