track 1: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.63)
track 2: IDENTIFIED as 11 (UNKNOWN, conf=0.24)
track 3: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.76)
track 4: IDENTIFIED as 29 (CANDIDATE, conf=0.70)
track 5: IDENTIFIED as 28 (LOCKED, conf=0.94)
track 6: IDENTIFIED as 11 (UNKNOWN, conf=0.50)
track 7: IDENTIFIED as 05 (UNKNOWN, conf=0.36)
track 8: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 9: IDENTIFIED as 14 (LOCKED, conf=0.96)
track 10: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 12: NOT RECOGNIZED — best sim 0.28 -> 01 (threshold 0.45)
track 14: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 24: IDENTIFIED as 11 (UNKNOWN, conf=0.23)
track 26: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 27: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 28: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 29: IDENTIFIED as 05 (UNKNOWN, conf=0.39)
track 34: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 43: IDENTIFIED as 05 (UNKNOWN, conf=0.31)
track 55: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 59: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 62: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 71: IDENTIFIED as 05 (UNKNOWN, conf=0.34)
track 72: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 79: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 83: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 90: IDENTIFIED as 11 (UNKNOWN, conf=0.26)
track 91: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 92: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 95: IDENTIFIED as 05 (UNKNOWN, conf=0.31)
track 98: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 105: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 107: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 108: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
