track 191: IDENTIFIED as 15 (CANDIDATE, conf=0.61)
track 196: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 198: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 199: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 200: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 205: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 208: IDENTIFIED as 05 (UNKNOWN, conf=0.49)
track 209: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 210: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 211: IDENTIFIED as 05 (CANDIDATE, conf=0.58)
track 212: NOT RECOGNIZED — face never detected (1 looks)
track 214: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 215: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 217: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 219: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 227: NOT RECOGNIZED — face never detected (2 looks)
track 230: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 231: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 232: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 233: NOT RECOGNIZED — face never detected (8 looks)
track 234: IDENTIFIED as 11 (UNKNOWN, conf=0.63)
track 237: NOT RECOGNIZED — best sim 0.37 -> 30 (threshold 0.45)
track 241: IDENTIFIED as 05 (UNKNOWN, conf=0.60)
track 243: IDENTIFIED as 05 (UNKNOWN, conf=0.62)
track 245: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 252: IDENTIFIED as 05 (UNKNOWN, conf=0.54)
track 253: IDENTIFIED as 28 (CANDIDATE, conf=0.58)
track 254: IDENTIFIED as 28 (CANDIDATE, conf=0.63)
track 256: IDENTIFIED as 19 (UNKNOWN, conf=0.63)
track 258: NOT RECOGNIZED — face never detected (1 looks)
track 259: IDENTIFIED as 15 (REVIEW_REQUIRED, conf=0.72)
track 263: IDENTIFIED as 11 (UNKNOWN, conf=0.62)
track 264: IDENTIFIED as 11 (UNKNOWN, conf=0.62)
track 268: IDENTIFIED as 11 (UNKNOWN, conf=0.62)
track 274: IDENTIFIED as 28 (CANDIDATE, conf=0.66)
track 275: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 279: IDENTIFIED as 28 (LOCKED, conf=0.83)
track 280: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 281: IDENTIFIED as 05 (UNKNOWN, conf=0.57)
track 283: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 285: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 287: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 288: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 296: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 297: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 302: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 303: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 304: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 305: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 306: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 310: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 313: IDENTIFIED as 05 (UNKNOWN, conf=0.38)
track 315: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 319: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 320: IDENTIFIED as 11 (UNKNOWN, conf=0.38)
track 323: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 325: IDENTIFIED as 11 (UNKNOWN, conf=0.23)
track 338: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 339: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 344: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 347: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 349: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 350: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 351: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 353: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 365: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 366: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 368: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 369: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 373: IDENTIFIED as 30 (CANDIDATE, conf=0.47)
track 378: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 380: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 381: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 384: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 386: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 388: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 389: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 391: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 392: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 395: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 398: IDENTIFIED as 05 (UNKNOWN, conf=0.47)
track 404: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.62)
track 407: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 409: IDENTIFIED as 29 (CANDIDATE, conf=0.56)
track 412: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 413: IDENTIFIED as 11 (CANDIDATE, conf=0.69)
track 414: NOT RECOGNIZED — face never detected (1 looks)
track 415: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 416: IDENTIFIED as 11 (CANDIDATE, conf=0.72)
track 418: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 420: IDENTIFIED as 11 (UNKNOWN, conf=0.40)
track 421: NOT RECOGNIZED — face never detected (8 looks)
track 424: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 425: IDENTIFIED as 15 (LOCKED, conf=0.97)
track 426: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 429: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 432: IDENTIFIED as 28 (CANDIDATE, conf=0.62)
track 433: NOT RECOGNIZED — face never detected (1 looks)
track 435: NOT RECOGNIZED — face never detected (8 looks)
track 436: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 438: NOT RECOGNIZED — face never detected (9 looks)
track 441: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 442: NOT RECOGNIZED — face never detected (1 looks)
track 447: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 449: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 450: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 454: NOT RECOGNIZED — face never detected (16 looks)
track 461: NOT RECOGNIZED — face never detected (16 looks)
track 462: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 465: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 467: NOT RECOGNIZED — face never detected (13 looks)
track 469: IDENTIFIED as 29 (CANDIDATE, conf=0.58)
track 471: NOT RECOGNIZED — face never detected (9 looks)
track 472: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 473: NOT RECOGNIZED — face never detected (1 looks)
track 474: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 475: NOT RECOGNIZED — face never detected (8 looks)
track 476: IDENTIFIED as 11 (UNKNOWN, conf=0.23)
track 482: NOT RECOGNIZED — face never detected (12 looks)
track 484: IDENTIFIED as 05 (UNKNOWN, conf=0.58)
track 486: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 487: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 490: NOT RECOGNIZED — face never detected (2 looks)
track 491: NOT RECOGNIZED — face never detected (8 looks)
track 493: NOT RECOGNIZED — face never detected (10 looks)
track 495: NOT RECOGNIZED — face never detected (4 looks)
track 501: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 503: NOT RECOGNIZED — face never detected (10 looks)
track 504: NOT RECOGNIZED — face never detected (1 looks)
track 505: NOT RECOGNIZED — face never detected (8 looks)
track 506: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 507: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 509: NOT RECOGNIZED — face never detected (1 looks)
track 510: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 511: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 514: NOT RECOGNIZED — face never detected (6 looks)
track 515: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 516: NOT RECOGNIZED — face never detected (1 looks)
track 517: NOT RECOGNIZED — face never detected (2 looks)
track 518: NOT RECOGNIZED — face never detected (12 looks)
track 519: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 520: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 522: IDENTIFIED as 28 (CANDIDATE, conf=0.58)
track 524: NOT RECOGNIZED — face never detected (19 looks)
track 527: NOT RECOGNIZED — face never detected (4 looks)
track 530: NOT RECOGNIZED — face never detected (2 looks)
track 532: NOT RECOGNIZED — face never detected (3 looks)
track 536: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 538: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 541: NOT RECOGNIZED — face never detected (6 looks)
track 544: IDENTIFIED as 28 (CANDIDATE, conf=0.62)
track 545: IDENTIFIED as 15 (REVIEW_REQUIRED, conf=0.71)
track 551: NOT RECOGNIZED — face never detected (52 looks)
track 555: NOT RECOGNIZED — face never detected (4 looks)
track 560: NOT RECOGNIZED — face never detected (6 looks)
track 561: NOT RECOGNIZED — face never detected (7 looks)
track 563: IDENTIFIED as 05 (CANDIDATE, conf=0.48)
track 564: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 566: NOT RECOGNIZED — face never detected (4 looks)
track 573: NOT RECOGNIZED — face never detected (17 looks)
track 574: NOT RECOGNIZED — face never detected (1 looks)
track 575: IDENTIFIED as 05 (UNKNOWN, conf=0.33)
track 576: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 577: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 579: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 580: NOT RECOGNIZED — face never detected (18 looks)
track 582: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 583: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 584: NOT RECOGNIZED — face never detected (12 looks)
track 585: NOT RECOGNIZED — face never detected (25 looks)
track 586: NOT RECOGNIZED — face never detected (8 looks)
track 588: NOT RECOGNIZED — face never detected (10 looks)
track 590: IDENTIFIED as 11 (UNKNOWN, conf=0.28)
track 591: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 593: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.67)
track 594: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 595: IDENTIFIED as 05 (UNKNOWN, conf=0.57)
track 599: NOT RECOGNIZED — face never detected (2 looks)
track 601: NOT RECOGNIZED — face never detected (12 looks)
track 603: IDENTIFIED as 11 (UNKNOWN, conf=0.36)
track 606: NOT RECOGNIZED — face never detected (1 looks)
track 609: NOT RECOGNIZED — face never detected (2 looks)
track 612: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
